ID,Title,Author,Genre,Description,SE_Description,URL,AccessionNo,BookType,SubjectNo,Publisher,Price,Currency,Pages,Language,CupboardNo,RackNo,Branch,YearOfPublication,BarcodePrint,IndexPrev,Page1Prev,Page2Prev,Page3Prev,SellerInfo,SellerContact,AddedBy,TimeOfEntry,Remark
754,"Tikkity -Boo",Torfrida,NULL,NULL,NULL,NULL,78470,1,"C S ","Bombay ",0.00,₹,131,2,0,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
755,"The Right Word InThe Right Place","Chapheker M K  ",NULL,NULL,NULL,NULL,78471,1,"294 5/Cha","Vinayak, Bom ",3.75,₹,198,2,1320,5,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
756,"Again this Rapture","Cartland Barbara","Romance, Romance, Historical Romance","Cynthia had lost the two things she loved most in the world - first Peter, the men she was to marry, and then Birch Vale, the country estate that had been her family's pride.",NULL,https://www.goodreads.com/book/show/3787379-again-this-rapture?from_search=true&from_srp=true&qid=BZJpaFPiQ8&rank=1,78472,1,"823 / CAR","Arrow, London ",0.00,₹,191,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
757,"The Hill of Devi","Forster E M ","Cultural, India, Travel, Nonfiction, Classics, History, Biography, Literature, 20th Century","The author's experiences as private secretary to a brilliant young Maharajah. Forster creates a complex portrait of a true ruler. Photographs.",NULL,https://www.goodreads.com/book/show/115427.The_Hill_of_Devi?from_search=true&from_srp=true&qid=AXhnSltnP1&rank=1,78473,1,"826 / FOR","Arnold, Delhi",0.00,₹,176,2,1131,3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
758,"Turkish Fairy Tales","Brockett Eleanor",,NULL,NULL,https://www.goodreads.com/book/show/1669415.Turkish_Fairy_Tales?from_search=true&from_srp=true&qid=Fmo47NuJm9&rank=4,78474,1,823-/Bro,"Somaiya Publications Pvt, Bombay ",175.00,₹,172,2,1080,3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
759,"Tantra:The Secret Power Of Sex","Arvind & Kale Shanta",NULL,NULL,NULL,NULL,78475,1,"155 3 RAV","Jaico Pub  House, Bombay",0.00,₹,186,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
760,"Love Songs of Vidyapati","Bhattacharya Deben","Poetry, Cultural, India","Evergreen original #E-541. Collection of poems by Vidyapati, one of the greatest of all Indian poets.",NULL,https://www.goodreads.com/book/show/6365179-love-songs-of-vidyapati?from_search=true&from_srp=true&qid=yDuz15y9aM&rank=1,78476,1,"821 / BHA","Orient, Delhi ",0.00,₹,144,2,1110,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
761,"More Tales FromTagore","Dodd E  F ",NULL,NULL,NULL,NULL,78477,1,"823- / DOD","Macmillan & Co ",1.00,₹,101,2,1100,6,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
762,"Tales From Shakespeare","Charles and M  Lamb ","Classics, Fiction, Literature, Short Stories, Plays, Childrens, Young Adult, Novels, Drama, Literature, English Literature","Presents an introduction to Shakespeare's greatest plays including Hamlet Othello, As You Like It, The Taming of the Shrew, The Tempest and Pericles.",NULL,https://www.goodreads.com/book/show/42036.Tales_from_Shakespeare?from_search=true&from_srp=true&qid=IvkaPPhdJX&rank=1,78478,1,"823- / CHA","The Educational Pub  Co , Karachi ",1.00,₹,304,2,1080,4,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
763,"for men only","Brown Beth",NULL,NULL,NULL,NULL,78479,1,"823 / BRO","Belmount, N  York ",0.00,₹,141,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
